SUID,BEND_MAP_ID,cluster1_Adj_cyto.csv,inter,interaction,name,selected,shared interaction,shared name,
1039,96,2.7822961864,,interacts with,Actinobacillus (interacts with) Klebsiella,false,interacts with,Actinobacillus (interacts with) Klebsiella,
1040,95,1.3831479309,,interacts with,Actinobacillus (interacts with) Veillonella,false,interacts with,Actinobacillus (interacts with) Veillonella,
1041,94,4.0097530348,,interacts with,Actinobacillus (interacts with) Rothia,false,interacts with,Actinobacillus (interacts with) Rothia,
1042,93,2.4299278425,,interacts with,Actinobacillus (interacts with) Prevotella,false,interacts with,Actinobacillus (interacts with) Prevotella,
1043,92,5.1820422253,,interacts with,Actinobacillus (interacts with) Porphyromonas,false,interacts with,Actinobacillus (interacts with) Porphyromonas,
1044,91,5.3281018646,,interacts with,Actinobacillus (interacts with) Neisseria,false,interacts with,Actinobacillus (interacts with) Neisseria,
1045,90,4.4063978062,,interacts with,Actinobacillus (interacts with) Leptotrichia,false,interacts with,Actinobacillus (interacts with) Leptotrichia,
1046,89,1.068726116,,interacts with,Actinobacillus (interacts with) Haemophilus,false,interacts with,Actinobacillus (interacts with) Haemophilus,
1047,88,3.0714465379,,interacts with,Actinobacillus (interacts with) Granulicatella,false,interacts with,Actinobacillus (interacts with) Granulicatella,
1048,87,15.3211273436,,interacts with,Actinobacillus (interacts with) Gemella,false,interacts with,Actinobacillus (interacts with) Gemella,
1049,86,2.6171938087,,interacts with,Actinobacillus (interacts with) Actinomyces,false,interacts with,Actinobacillus (interacts with) Actinomyces,
