SUID,cluster2_Adj_cyto.csv,inter,interaction,name,selected,shared interaction,shared name,
192,1.0880002285,,interacts with,Candida (interacts with) Moraxella,false,interacts with,Candida (interacts with) Moraxella,
193,1.1480021547,,interacts with,Candida (interacts with) Klebsiella,false,interacts with,Candida (interacts with) Klebsiella,
194,3.3374483742,,interacts with,Candida (interacts with) Veillonella,false,interacts with,Candida (interacts with) Veillonella,
195,28.6453021971,,interacts with,Candida (interacts with) Streptococcus,false,interacts with,Candida (interacts with) Streptococcus,
196,8.2040351454,,interacts with,Candida (interacts with) Rothia,false,interacts with,Candida (interacts with) Rothia,
197,3.4286653134,,interacts with,Candida (interacts with) Prevotella,false,interacts with,Candida (interacts with) Prevotella,
198,2.9645790541,,interacts with,Candida (interacts with) Porphyromonas,false,interacts with,Candida (interacts with) Porphyromonas,
199,0.7818353845,,interacts with,Candida (interacts with) Neisseria,false,interacts with,Candida (interacts with) Neisseria,
200,-0.0395997347,,interacts with,Candida (interacts with) Leptotrichia,false,interacts with,Candida (interacts with) Leptotrichia,
201,8.7488100387,,interacts with,Candida (interacts with) Haemophilus,false,interacts with,Candida (interacts with) Haemophilus,
202,11.262167001,,interacts with,Candida (interacts with) Granulicatella,false,interacts with,Candida (interacts with) Granulicatella,
203,1.0512092942,,interacts with,Candida (interacts with) Gemella,false,interacts with,Candida (interacts with) Gemella,
204,62.524725294,,interacts with,Candida (interacts with) Fusobacterium,false,interacts with,Candida (interacts with) Fusobacterium,
205,11.6166592198,,interacts with,Candida (interacts with) Actinomyces,false,interacts with,Candida (interacts with) Actinomyces,
206,1.7476498036,,interacts with,Candida (interacts with) Actinobacillus,false,interacts with,Candida (interacts with) Actinobacillus,
207,0.4245744963,,interacts with,Aspergillus (interacts with) RV,false,interacts with,Aspergillus (interacts with) RV,
208,0.0337377221,,interacts with,Aspergillus (interacts with) PIV3,false,interacts with,Aspergillus (interacts with) PIV3,
209,-1.5936473574,,interacts with,Aspergillus (interacts with) Saccharomyces,false,interacts with,Aspergillus (interacts with) Saccharomyces,
210,-0.6076784577,,interacts with,Aspergillus (interacts with) Penicillium,false,interacts with,Aspergillus (interacts with) Penicillium,
211,-3.7521812714,,interacts with,Aspergillus (interacts with) Cryptococcus,false,interacts with,Aspergillus (interacts with) Cryptococcus,
212,2.1894805833,,interacts with,Aspergillus (interacts with) Candida,false,interacts with,Aspergillus (interacts with) Candida,
213,1.0022507058,1,interacts with,Aspergillus (interacts with) Pseudomonas,true,interacts with,Aspergillus (interacts with) Pseudomonas,
214,2.7980774864,,interacts with,Aspergillus (interacts with) Moraxella,false,interacts with,Aspergillus (interacts with) Moraxella,
215,2.6626379568,,interacts with,Aspergillus (interacts with) Klebsiella,false,interacts with,Aspergillus (interacts with) Klebsiella,
216,5.9191874421,,interacts with,Aspergillus (interacts with) Veillonella,false,interacts with,Aspergillus (interacts with) Veillonella,
217,-0.8369787106,,interacts with,Aspergillus (interacts with) Streptococcus,false,interacts with,Aspergillus (interacts with) Streptococcus,
218,5.5446613564,,interacts with,Aspergillus (interacts with) Prevotella,false,interacts with,Aspergillus (interacts with) Prevotella,
219,4.6720080193,,interacts with,Aspergillus (interacts with) Porphyromonas,false,interacts with,Aspergillus (interacts with) Porphyromonas,
220,3.5930346686,,interacts with,Aspergillus (interacts with) Neisseria,false,interacts with,Aspergillus (interacts with) Neisseria,
221,6.4597966669,,interacts with,Aspergillus (interacts with) Leptotrichia,false,interacts with,Aspergillus (interacts with) Leptotrichia,
222,-1.2635198371,,interacts with,Aspergillus (interacts with) Haemophilus,false,interacts with,Aspergillus (interacts with) Haemophilus,
223,0.6476051575,,interacts with,Aspergillus (interacts with) Granulicatella,false,interacts with,Aspergillus (interacts with) Granulicatella,
224,3.1446716885,,interacts with,Aspergillus (interacts with) Gemella,false,interacts with,Aspergillus (interacts with) Gemella,
225,12.2957017048,,interacts with,Aspergillus (interacts with) Fusobacterium,false,interacts with,Aspergillus (interacts with) Fusobacterium,
226,5.788198929,,interacts with,Aspergillus (interacts with) Actinomyces,false,interacts with,Aspergillus (interacts with) Actinomyces,
227,2.482958291,,interacts with,Aspergillus (interacts with) Actinobacillus,false,interacts with,Aspergillus (interacts with) Actinobacillus,
228,3.7934724334,1,interacts with,Pseudomonas (interacts with) PIV3,true,interacts with,Pseudomonas (interacts with) PIV3,
229,-1.3116862934,-1,interacts with,Pseudomonas (interacts with) Saccharomyces,true,interacts with,Pseudomonas (interacts with) Saccharomyces,
230,0.5821990069,1,interacts with,Pseudomonas (interacts with) Penicillium,true,interacts with,Pseudomonas (interacts with) Penicillium,
231,0.2519423145,1,interacts with,Pseudomonas (interacts with) Cryptococcus,true,interacts with,Pseudomonas (interacts with) Cryptococcus,
232,1.0022507058,1,interacts with,Pseudomonas (interacts with) Aspergillus,true,interacts with,Pseudomonas (interacts with) Aspergillus,
233,0.7087934442,1,interacts with,Pseudomonas (interacts with) Klebsiella,true,interacts with,Pseudomonas (interacts with) Klebsiella,
234,1.4701247968,1,interacts with,Pseudomonas (interacts with) Veillonella,true,interacts with,Pseudomonas (interacts with) Veillonella,
235,-2.200730927,-1,interacts with,Pseudomonas (interacts with) Streptococcus,true,interacts with,Pseudomonas (interacts with) Streptococcus,
236,1.4105254187,1,interacts with,Pseudomonas (interacts with) Prevotella,true,interacts with,Pseudomonas (interacts with) Prevotella,
237,1.1773387304,1,interacts with,Pseudomonas (interacts with) Porphyromonas,true,interacts with,Pseudomonas (interacts with) Porphyromonas,
238,5.2859830009,1,interacts with,Pseudomonas (interacts with) Neisseria,true,interacts with,Pseudomonas (interacts with) Neisseria,
239,2.5022205122,1,interacts with,Pseudomonas (interacts with) Leptotrichia,true,interacts with,Pseudomonas (interacts with) Leptotrichia,
240,4.5049879889,1,interacts with,Pseudomonas (interacts with) Haemophilus,true,interacts with,Pseudomonas (interacts with) Haemophilus,
241,5.2901972622,1,interacts with,Pseudomonas (interacts with) Granulicatella,true,interacts with,Pseudomonas (interacts with) Granulicatella,
242,1.4434903949,1,interacts with,Pseudomonas (interacts with) Gemella,true,interacts with,Pseudomonas (interacts with) Gemella,
243,1.2801340514,1,interacts with,Pseudomonas (interacts with) Fusobacterium,true,interacts with,Pseudomonas (interacts with) Fusobacterium,
244,3.7015747498,1,interacts with,Pseudomonas (interacts with) Actinomyces,true,interacts with,Pseudomonas (interacts with) Actinomyces,
245,2.2889977954,1,interacts with,Pseudomonas (interacts with) Actinobacillus,true,interacts with,Pseudomonas (interacts with) Actinobacillus,
246,0.8113967348,,interacts with,Moraxella (interacts with) RV,false,interacts with,Moraxella (interacts with) RV,
